Specie,Functional characterization,Candidate genes associated with phenotypes,References
Asian seabass,Sexual development and differentiation,"Amh, nfkb2, sept7, dmrt1, nr5a1, nr5a2, esr1, foxl2, sox9a, sox9b                        ,                         cyp19a1a                        ,                         wt1                        ,                         nr0b1","Domingos, Zenger, & Jerry (2015)                        ;                         Vij et al. (2016)"
Atlantic cod,Innate immune response,"Tlr                        families,                         Tap1                        ,                         Tap2                        ,                         Tcr                        ,                         Il8                        ,                         Psmb                        families,                         Erap1                        ,                         Irap                        ,                         MhcⅡ                        ,                         Rfx7                        ,                         Rfxank                        ,                         Psme1",Star et al. (2011)
Atlantic salmon,"Immune response, sex-determining, and maturation","Th2, th17, map4k4, trim39, creg1,TCRγ,Vdj                        ,                         Igh                        ,                         Pmsb                        ,                         Kifc1                        ,                         Daxx                        ,                         Brd2                        ,                         Rxrb                        ,                         Slc39a7                        ,                         Col11a2                        ,                         Zbtb22                        ,                         Cdc2                        ,                         Cyclin B",Davidson et al. (2010)                        ;                         Lien et al. (2016)
Channel catfish,Scale formation and regeneration,"Eda, edar, fgfr, lef1, tcf7, spp1,odam, Scpp                        families                         , Gsp37, Fa93e10, Sparcl1",Jiang et al. (2013)                        ;                         Liu et al. (2016)
Common carp,"Scale loss and formation,                        Pigmentation","Fgfr1a1                        ,                         Lrrc72                        ,                         Zpld1                        ,                         Nlk                        ,                         Lrrc72                        ,                         Asip                        ,                         Mc1r                        ,                         Foxd3                        ,                         Tyrp1                        ,                         Sox10                        ,                         Dct                        ,                         Tyr                        ,                         Slc7a11",Xu et al. (2014)
European seabass,Euryhaline tolerating,"Avt, Claudin                        families                         , Prl, Prlr, Cldn1",Tine et al. (2014)
Grass carp,"Immune response,                        Developmental and cell proliferation","Ror                        ,                         Rorca                        ,                         Clock                        ,                         Clock1                        ,                         Prkrip1                        ,                         Itga7                        ,                         Bam1                        ,                         Itgb7                        ,                         Col5a1                        ,                         Dec                        ,                         Cry                        ,                         Per                        ,                         Ampk                        ,                         Creb                        ,                         Fbxl3",Wang et al. (2015)
Japanese flounder,"Axial and neural patterning, musculoskeletal restructuring, metamorphosis","Irx5, usp16, igsf8,arid1a, bmp1, ano6, pepd, nr1d2                        ,                         mybpc1, myo1h, th, notch2                        ,                         aldh1l1                        ,                         aldh3b1                        ,                         rdh14                        ,                         gucy2f                        ,                         grk1                        ,                         rh1, lws, sws1",Shao et al. (2017)
Nile Tilapia,"Jaw morphology, color patterning, vision","Bmp4, bmpr1b, nog2, ednrb, kfhg, rho",Brawand et al. (2014)
Northern snakehead,"Bimodal breath, blood vessels and lungs structure, ion uptake and transport","Vegf, fgfr, silt, Tie1                        ,                         Akt3                        ,                         robo2, src, smad2                        ,                         Elna                        ,                         arnt, egln1, mfap2, fbn2b                        ,                         Itga5                        ,                         fn1b, loxl4, hmox, Abcg2a                        ,                         cahz                        ,                         Rhag                        ,                         Ca4c                        ,                         slc40a1, steap3, Mcoln1a",Xu et al. (2017)
Pacific bluefin tuna,"Visual pigment, opsin genes","Rh1, Rh2                        ,                         M/lws, sws1, sws2, slc6a13                        ,                         Rh2a1                        ,                         Rh2a2                        ,                         Rh2b                        ,                         Sws2a, Sws2b, hcfc1a",Nakamura et al. (2013)
Rainbow trout,Sexual determination,"Sdy, dmrt1, sox,Vdj                        ,                         Igh                        ,                         Pmsb                        ,                         Daxx                        ,                         Brd2                        ,                         Rxrb                        ,                         Slc39a7",Berthelot et al. (2014)
Tongue sole,"Internal organs development, morphology, and benthic adaptation","Cp, hnf4a, ace2, fbn1, cdh2, pepd, rh1, rh2, lws, xdh                        ,                         cd74                        ,                         cdhr2                        ,                         mep1b                        ,                         gda                        ,                         itih2                        ,                         cpb1                        ,                         arl6                        ,                         crx                        ,                         cryaa                        ,                         nrl                        ,                         nyx                        .",Chen et al. (2014)
Turbot,"Demersal lifestyle and temperature adaptation, immune response","Rh, rh2a, rh2b, tlr                        families,                         cybb                        ,                         crygm2                        ,                         crygm3                        ,                         pla2                        ,                         gpx1                        ,                         gss                        ,                         stra8                        ,                         ar                        ,                         sox8a                        ,                         sox9a                        ,                         sox17                        ,                         cd14                        ,                         md2                        ,                         lbp                        ,                         psma6                        .",Figueras et al. (2016)
